도메인,L4,L5,AS-IS(매칭 항목),L6_ID,L6 Name,Output Type,Digital Trace,sequence_no,pre_dependency
총무,사내 서비스 운영,대외유관 기관/업체 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0411,기관별 협업결과 회신서 등록,reply_doc,회신 문서 수신 로그 | 협업 항목 상태값 변경 | 대외협업 이력대장 업데이트,2,V2-L6-0410
총무,사내 서비스 운영,대외유관 기관/업체 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0412,정기 협력현황 보고서 발행,status_report,기관별 협력 KPI 집계 배치 | 보고서 버전 저장 로그 | 메일 제목: 대외 협력현황 공유,3,V2-L6-0411
총무,사내 서비스 운영,사내 전화(S-Calling) 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0413,S-Calling 회선연동 매핑표 생성,mapping_table,S-Calling 계정-031회선 매핑 로그 | 교환기 연동 설정 로그 | 메일 제목: S-Calling 회선 연동 완료 안내,1,
총무,사내 서비스 운영,사내 전화(S-Calling) 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0414,통화장애 조치결과서 등록,incident_report,통화품질 이상탐지 로그 | 장애 티켓 종료 로그 | 메일 제목: S-Calling 장애 조치 완료 안내,2,V2-L6-0413
총무,사내 서비스 운영,사내 전화(S-Calling) 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0415,월간 통화품질 리포트 발행,quality_report,월간 품질 집계 배치 | 회선별 장애율 계산 로그 | 메일 제목: S-Calling 월간 품질 리포트 공유,3,V2-L6-0414
총무,사내 서비스 운영,두발로 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0416,두발로 배치계획서 확정,plan_doc,자산관리시스템 거치대 배치 로그 | 운영 대시보드 상태값 변경: 배치완료 | 메일 제목: 두발로 배치 계획 확정 안내,1,
총무,사내 서비스 운영,두발로 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0417,두발로 정비완료 보고서 등록,maintenance_report,정비 작업지시 번호 종료 로그 | 자산관리시스템 정비이력 저장 | 메일 제목: 두발로 정비 완료 안내,2,V2-L6-0416
총무,사내 서비스 운영,두발로 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0418,두발로 이용통계 리포트 발행,analytics_report,대여/반납 로그 집계 배치 | 월간 운영리포트 저장 | 메일 제목: 두발로 이용 통계 공유,3,V2-L6-0417
총무,사내 서비스 운영,다회용기 업체 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0931,다회용기 업체 운영 요청 접수 로그 생성,ticket_log,다회용기 업체 운영 요청 접수번호 생성 | 다회용기 업체 운영 요청 상태값 변경: 접수 | 메일 제목: 다회용기 업체 운영 요청 접수 안내,1,
총무,사내 서비스 운영,다회용기 업체 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0419,다회용기 운영계약서 확정,contract_doc,구매시스템 계약번호 생성 | 전자결재 승인 로그 | 메일 제목: 다회용기 업체 계약 확정 안내,2,V2-L6-0931
총무,사내 서비스 운영,다회용기 업체 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0420,다회용기 수거실적 대장 업데이트,ledger_record,회수량 입력 로그 | 업체별 SLA 준수율 계산 로그 | 메일 제목: 다회용기 수거 실적 등록 안내,3,V2-L6-0419
총무,사내 서비스 운영,다회용기 업체 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0421,다회용기 정산내역서 발행,settlement_doc,정산 배치 실행 로그 | 청구내역 매칭 로그 | 메일 제목: 다회용기 업체 정산 완료 안내,4,V2-L6-0420
총무,사내 인프라 관리,사무실 레이아웃 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0932,사무실 레이아웃 관리 요청 접수 로그 생성,ticket_log,사무실 레이아웃 관리 요청 접수번호 생성 | 사무실 레이아웃 관리 요청 상태값 변경: 접수 | 메일 제목: 사무실 레이아웃 관리 요청 접수 안내,1,
총무,사내 인프라 관리,사무실 레이아웃 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0422,좌석배치 변경계획서 확정,plan_doc,레이아웃 도면 버전 저장 | 이전 작업지시 생성 | 메일 제목: 사무실 레이아웃 변경 안내,2,V2-L6-0932
총무,사내 인프라 관리,피트니스 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0423,피트니스 시설점검 결과서 등록,inspection_report,시설점검 체크리스트 저장 | 고장항목 조치 티켓 생성 | 메일 제목: 피트니스 점검 결과 안내,1,
총무,사내 인프라 관리,사내식당 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0424,사내식당 위생점검 결과서 등록,inspection_report,위생점검 로그 저장 | 점검등급 업데이트 로그 | 메일 제목: 사내식당 위생점검 결과 안내,1,
총무,사내 인프라 관리,사내식당 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0425,주간 식단편성 확정표 발행,menu_plan,식단 편성 승인 로그 | 식자재 발주 연동 로그 | 메일 제목: 주간 식단표 공지,2,V2-L6-0424
총무,사내 인프라 관리,주차장 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0933,주차장 관리 요청 접수 로그 생성,ticket_log,주차장 관리 요청 접수번호 생성 | 주차장 관리 요청 상태값 변경: 접수 | 메일 제목: 주차장 관리 요청 접수 안내,1,
총무,사내 인프라 관리,주차장 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0426,주차권한 배정목록 확정,allocation_list,출입차량 등록 로그 | 권한 배정 승인 로그 | 메일 제목: 주차권한 배정 안내,2,V2-L6-0933
총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",원본 l6_activities 없음(신규/보강 항목),V2-L6-1085,숙박시설 운영 (기숙사 생성,ticket_log,숙박시설 운영 (기숙사 생성 처리 로그 | 숙박시설 운영 (기숙사 생성 시스템 상태값 변경 | 메일 제목: 숙박시설 운영 (기숙사 생성 안내,1,
총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",원본 l6_activities 없음(신규/보강 항목),V2-L6-0809,기숙사 발행,approval_doc,기숙사 발행 처리 로그 | 기숙사 발행 시스템 상태값 변경 | 메일 제목: 기숙사 발행 안내,2,V2-L6-1085
총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",원본 l6_activities 없음(신규/보강 항목),V2-L6-1086,포레스트) 요청 접수 로그 생성,ticket_log,포레스트) 요청 접수 로그 생성 처리 로그 | 포레스트) 요청 접수 로그 생성 시스템 상태값 변경 | 메일 제목: 포레스트) 요청 접수 로그 생성 안내,3,V2-L6-0809
총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",원본 l6_activities 없음(신규/보강 항목),V2-L6-0810,포레스트 배정승인서 발행,approval_doc,포레스트 배정승인서 발행 처리 로그 | 포레스트 배정승인서 발행 시스템 상태값 변경 | 메일 제목: 포레스트 배정승인서 발행 안내,4,V2-L6-1086
총무,사내 인프라 관리,회의실 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0935,회의실 운영 요청 접수 로그 생성,ticket_log,회의실 운영 요청 접수번호 생성 | 회의실 운영 요청 상태값 변경: 접수 | 메일 제목: 회의실 운영 요청 접수 안내,1,
총무,사내 인프라 관리,회의실 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0428,회의실 예약승인 목록 확정,approval_list,회의실 예약 승인 로그 | 장비 체크리스트 생성 | 메일 제목: 회의실 예약 승인 안내,2,V2-L6-0935
총무,사내 인프라 관리,외부 사무실 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0936,외부 사무실 운영 요청 접수 로그 생성,ticket_log,외부 사무실 운영 요청 접수번호 생성 | 외부 사무실 운영 요청 상태값 변경: 접수 | 메일 제목: 외부 사무실 운영 요청 접수 안내,1,
총무,사내 인프라 관리,외부 사무실 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0429,외부 사무실 운영비 정산서 발행,settlement_doc,운영비 지출 집계 로그 | 정산 승인 문서번호 생성 | 메일 제목: 외부 사무실 정산 완료 안내,2,V2-L6-0936
총무,사내 인프라 관리,사택 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0937,사택 관리 요청 접수 로그 생성,ticket_log,사택 관리 요청 접수번호 생성 | 사택 관리 요청 상태값 변경: 접수 | 메일 제목: 사택 관리 요청 접수 안내,1,
총무,사내 인프라 관리,사택 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0430,사택 배정승인서 확정,approval_doc,사택 배정 승인 로그 | 입주 점검표 저장 | 메일 제목: 사택 배정 결과 안내,2,V2-L6-0937
총무,사내 인프라 관리,비품 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0431,비품 입고검수 보고서 등록,inspection_report,입고 검수 로그 | 자산 태깅 로그 | 메일 제목: 비품 입고 완료 안내,1,
총무,사내 인프라 관리,임직원 사진관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0432,프로필 사진 원본 업로드 완료,media_asset,미디어 저장소 업로드 로그 | 품질검수 상태 변경 로그 | 메일 제목: 임직원 사진 등록 완료 안내,1,
총무,사내 인프라 관리,임직원 사진관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0433,인사시스템 프로필 반영완료 로그 생성,sync_log,사번별 동기화 성공/실패 로그 | 일괄 반영 배치 완료 로그 | 메일 제목: 임직원 프로필 반영 완료 안내,2,V2-L6-0432
총무,사내 인프라 관리,건물 관리 (공조 등),원본 l6_activities 없음(신규/보강 항목),V2-L6-0434,건물 공조설비 점검결과서 등록,inspection_report,BMS 점검 로그 저장 | 고장설비 조치 티켓 생성 | 메일 제목: 건물 공조 점검 결과 안내,1,
총무,임직원 지원,임원 지원,원본 l6_activities 없음(신규/보강 항목),V2-L6-0435,임원 지원요청 배정표 확정,allocation_table,지원요청 티켓 생성 | 담당자 배정 로그 | 메일 제목: 임원 지원 배정 안내,1,
총무,임직원 지원,임직원 출장지원,원본 l6_activities 없음(신규/보강 항목),V2-L6-0938,임직원 출장지원 요청 접수 로그 생성,ticket_log,임직원 출장지원 요청 접수번호 생성 | 임직원 출장지원 요청 상태값 변경: 접수 | 메일 제목: 임직원 출장지원 요청 접수 안내,1,
총무,임직원 지원,임직원 출장지원,원본 l6_activities 없음(신규/보강 항목),V2-L6-0436,출장 이동지원 완료확인서 발행,confirmation_doc,출장지원 요청번호 생성 | 지원 완료 체크 로그 | 메일 제목: 출장 지원 완료 안내,2,V2-L6-0938
총무,차량 관리,법인 차량 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0939,법인 차량 관리 요청 접수 로그 생성,ticket_log,법인 차량 관리 요청 접수번호 생성 | 법인 차량 관리 요청 상태값 변경: 접수 | 메일 제목: 법인 차량 관리 요청 접수 안내,1,
총무,차량 관리,법인 차량 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0437,법인차량 배차확정서 발행,dispatch_doc,배차 승인 로그 | 차량 운행기록 생성 | 메일 제목: 법인차량 배차 확정 안내,2,V2-L6-0939
총무,차량 관리,운전기사 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0438,운전기사 근무스케줄 확정본 등록,schedule_doc,근무표 확정 로그 | 근태 연동 로그 | 메일 제목: 운전기사 근무일정 확정 안내,1,
총무,차량 관리,업무버스 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0940,업무버스 관리 요청 접수 로그 생성,ticket_log,업무버스 관리 요청 접수번호 생성 | 업무버스 관리 요청 상태값 변경: 접수 | 메일 제목: 업무버스 관리 요청 접수 안내,1,
총무,차량 관리,업무버스 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0439,업무버스 노선운영 계획서 확정,route_plan,노선 계획 버전 저장 | 탑승현황 집계 로그 | 메일 제목: 업무버스 노선 운영 안내,2,V2-L6-0940
총무,협력사 관리,입점업체 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0941,입점업체 운영 요청 접수 로그 생성,ticket_log,입점업체 운영 요청 접수번호 생성 | 입점업체 운영 요청 상태값 변경: 접수 | 메일 제목: 입점업체 운영 요청 접수 안내,1,
총무,협력사 관리,입점업체 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0440,입점업체 계약승인서 확정,contract_doc,전자결재 승인 로그 | 계약번호 생성 | 메일 제목: 입점업체 계약 승인 완료 안내,2,V2-L6-0941
총무,협력사 관리,입점업체 운영,원본 l6_activities 없음(신규/보강 항목),V2-L6-0441,입점업체 월간 정산서 발행,settlement_doc,수수료 정산 배치 로그 | 청구내역 검증 로그 | 메일 제목: 입점업체 월간 정산 완료 안내,3,V2-L6-0440
총무,협력사 관리,상주협력사 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0442,상주협력사 출입권한 부여로그 생성,access_log,출입권한 승인 로그 | 출입카드 발급 로그 | 메일 제목: 상주협력사 출입권한 부여 안내,1,
총무,협력사 관리,상주협력사 관리,원본 l6_activities 없음(신규/보강 항목),V2-L6-0443,상주협력사 안전교육 이수현황표 등록,training_status,안전교육 이수 데이터 저장 | 미이수 경고 로그 | 메일 제목: 상주협력사 안전교육 이수 현황 안내,2,V2-L6-0442
총무,공통,파견자 문의 대응,원본 l6_activities 없음(신규/보강 항목),V2-L6-0444,파견자 문의접수 티켓 생성,ticket_log,문의 티켓번호 생성 | 문의유형 자동분류 로그 | 메일 제목: 파견자 문의 접수 안내,1,
총무,공통,파견자 문의 대응,원본 l6_activities 없음(신규/보강 항목),V2-L6-0445,파견자 문의처리 결과통보 발송,notification_mail,답변문 템플릿 저장 | 발송 이력 로그 | 처리상태 변경 로그: 완료,2,V2-L6-0444
노사,조직문화,Change Agent,원본 l6_activities 없음(신규/보강 항목),V2-L6-0446,CA 운영계획서 확정,plan_doc,조직문화 포털 과제 등록 로그 | 운영계획 결재문서 번호 생성 | 메일 제목: CA 운영계획 확정 안내,1,
노사,조직문화,Change Agent,원본 l6_activities 없음(신규/보강 항목),V2-L6-0447,CA 활동결과 보고서 등록,result_report,활동일지 업로드 로그 | 개선과제 상태값 변경 로그 | 메일 제목: CA 활동결과 공유,2,V2-L6-0446
노사,조직문화,Change Agent,원본 l6_activities 없음(신규/보강 항목),V2-L6-0448,CA 우수사례집 발행,casebook,사례집 버전 저장 로그 | 지식관리시스템 게시 로그 | 메일 제목: CA 우수사례 배포,3,V2-L6-0447
노사,조직문화,SCI 진단,원본 l6_activities 없음(신규/보강 항목),V2-L6-0942,SCI 진단 요청 접수 로그 생성,ticket_log,SCI 진단 요청 접수번호 생성 | SCI 진단 요청 상태값 변경: 접수 | 메일 제목: SCI 진단 요청 접수 안내,1,
노사,조직문화,SCI 진단,원본 l6_activities 없음(신규/보강 항목),V2-L6-0449,SCI 진단 설문지 확정,survey_form,설문 문항 버전 확정 로그 | 대상자 배포 그룹 생성 로그 | 메일 제목: SCI 진단 설문 오픈 안내,2,V2-L6-0942
노사,조직문화,SCI 진단,원본 l6_activities 없음(신규/보강 항목),V2-L6-0450,SCI 서베이 응답데이터 수집 완료,survey_dataset,응답 데이터 적재 로그 | 미응답자 리마인드 발송 로그 | 수집률 대시보드 갱신 로그,3,V2-L6-0449
노사,조직문화,SCI 진단,원본 l6_activities 없음(신규/보강 항목),V2-L6-0451,SCI 진단 결과리포트 발행,analysis_report,결과 집계 배치 실행 로그 | 조직별 점수 산출 로그 | 메일 제목: SCI 진단 결과 공유,4,V2-L6-0450
노사,조직문화,My Pulse 서베이,원본 l6_activities 없음(신규/보강 항목),V2-L6-0943,My Pulse 서베이 요청 접수 로그 생성,ticket_log,My Pulse 서베이 요청 접수번호 생성 | My Pulse 서베이 요청 상태값 변경: 접수 | 메일 제목: My Pulse 서베이 요청 접수 안내,1,
노사,조직문화,My Pulse 서베이,원본 l6_activities 없음(신규/보강 항목),V2-L6-0452,My Pulse 설문지 확정,survey_form,마이펄스 문항 버전 배포 로그 | 조직별 배포대상 확정 로그 | 메일 제목: My Pulse 설문 시작 안내,2,V2-L6-0943
노사,조직문화,My Pulse 서베이,원본 l6_activities 없음(신규/보강 항목),V2-L6-0453,My Pulse 응답데이터 수집 완료,survey_dataset,마이펄스 응답 데이터 적재 | 미응답자 알림 발송 로그 | 응답률 대시보드 갱신 로그,3,V2-L6-0452
노사,조직문화,My Pulse 서베이,원본 l6_activities 없음(신규/보강 항목),V2-L6-0454,My Pulse 결과리포트 발행,analysis_report,조직별 점수 집계 배치 | 저점수 경보 항목 생성 로그 | 메일 제목: My Pulse 결과 공유,4,V2-L6-0453
노사,협의회,정기협의회,원본 l6_activities 없음(신규/보강 항목),V2-L6-0944,정기협의회 요청 접수 로그 생성,ticket_log,정기협의회 요청 접수번호 생성 | 정기협의회 요청 상태값 변경: 접수 | 메일 제목: 정기협의회 요청 접수 안내,1,
노사,협의회,정기협의회,원본 l6_activities 없음(신규/보강 항목),V2-L6-0455,정기협의회 안건목록 확정,agenda_doc,안건 접수-선정 로그 | 안건 우선순위 확정 로그 | 메일 제목: 정기협의회 안건 확정 안내,2,V2-L6-0944
노사,협의회,정기협의회,원본 l6_activities 없음(신규/보강 항목),V2-L6-0456,정기협의회 회의록 발행,minutes_doc,회의록 원본 저장 | 의결사항 태깅 로그 | 메일 제목: 정기협의회 회의록 공유,3,V2-L6-0455
노사,노동조합,단체교섭,원본 l6_activities 없음(신규/보강 항목),V2-L6-0457,단체교섭 요구안 접수목록 확정,intake_list,요구안 접수번호 생성 | 안건 분류 로그 | 메일 제목: 단체교섭 요구안 접수 안내,1,
노사,노동조합,단체교섭,원본 l6_activities 없음(신규/보강 항목),V2-L6-0458,단체교섭 회차별 회의록 발행,minutes_doc,회차별 회의록 저장 | 쟁점 태그 생성 로그 | 메일 제목: 단체교섭 회의록 공유,2,V2-L6-0457
노사,노동조합,단체협약,원본 l6_activities 없음(신규/보강 항목),V2-L6-0945,단체협약 요청 접수 로그 생성,ticket_log,단체협약 요청 접수번호 생성 | 단체협약 요청 상태값 변경: 접수 | 메일 제목: 단체협약 요청 접수 안내,1,
노사,노동조합,단체협약,원본 l6_activities 없음(신규/보강 항목),V2-L6-0459,단체협약 체결본 발행,agreement_doc,협약 체결 서명 로그 | 체결본 원본 저장 | 메일 제목: 단체협약 체결 완료 안내,2,V2-L6-0945
노사,ER,직장내괴롭힘,원본 l6_activities 없음(신규/보강 항목),V2-L6-0460,직장내괴롭힘 신고케이스 생성,case_intake,신고 케이스번호 생성 | 익명보호 설정 로그 | 메일 제목: 직장내괴롭힘 신고 접수 안내,1,
노사,ER,직장내괴롭힘,원본 l6_activities 없음(신규/보강 항목),V2-L6-0461,조사면담 기록서 등록,interview_record,면담기록 저장 | 증빙자료 첨부 로그 | 조사 진행상태 변경 로그,2,V2-L6-0460
노사,ER,희망퇴직,원본 l6_activities 없음(신규/보강 항목),V2-L6-0946,희망퇴직 요청 접수 로그 생성,ticket_log,희망퇴직 요청 접수번호 생성 | 희망퇴직 요청 상태값 변경: 접수 | 메일 제목: 희망퇴직 요청 접수 안내,1,
노사,ER,희망퇴직,원본 l6_activities 없음(신규/보강 항목),V2-L6-0462,희망퇴직 대상자 기준표 확정,criteria_doc,대상자 기준 결재 로그 | 대상자 추출 배치 로그 | 메일 제목: 희망퇴직 대상 기준 확정 안내,2,V2-L6-0946
노사,ER,희망퇴직,원본 l6_activities 없음(신규/보강 항목),V2-L6-0463,희망퇴직 위로금 협의안 확정,proposal_doc,협의안 버전 저장 | 재협의 이력 로그 | 메일 제목: 희망퇴직 위로금 협의 결과 안내,3,V2-L6-0462
노사,ER,희망퇴직,원본 l6_activities 없음(신규/보강 항목),V2-L6-0464,퇴직패키지 정산서 발행,settlement_doc,정산 배치 실행 로그 | 지급승인 로그 | 메일 제목: 희망퇴직 정산 완료 안내,4,V2-L6-0463
노사,ER,생일자 기념쿠키 지급,원본 l6_activities 없음(신규/보강 항목),V2-L6-0947,생일자 기념쿠키 지급 요청 접수 로그 생성,ticket_log,생일자 기념쿠키 지급 요청 접수번호 생성 | 생일자 기념쿠키 지급 요청 상태값 변경: 접수 | 메일 제목: 생일자 기념쿠키 지급 요청 접수 안내,1,
노사,ER,생일자 기념쿠키 지급,원본 l6_activities 없음(신규/보강 항목),V2-L6-0465,생일자 지급대상 명단 확정,approval_list,생일자 대상 추출 배치 | 대상자 검증 로그 | 메일 제목: 생일자 기념쿠키 지급대상 확정 안내,2,V2-L6-0947
노사,ER,생일자 기념쿠키 지급,원본 l6_activities 없음(신규/보강 항목),V2-L6-0466,기념쿠키 발주서 발행,order_doc,업체 발주번호 생성 | 발주 승인 로그 | 메일 제목: 생일자 기념쿠키 발주 완료 안내,3,V2-L6-0465
노사,사건사고 관리,면담질문지 준비,원본 l6_activities 없음(신규/보강 항목),V2-L6-0467,면담질문지 확정본 등록,questionnaire_doc,질문지 버전 승인 로그 | 사건유형별 템플릿 매핑 로그 | 메일 제목: 면담질문지 확정 안내,1,
노사,사건사고 관리,면담기록/요약,원본 l6_activities 없음(신규/보강 항목),V2-L6-1087,면담기록 생성,ticket_log,면담기록 생성 처리 로그 | 면담기록 생성 시스템 상태값 변경 | 메일 제목: 면담기록 생성 안내,1,
노사,사건사고 관리,면담기록/요약,원본 l6_activities 없음(신규/보강 항목),V2-L6-0468,면담요약 보고서 발행,summary_report,요약본 생성 로그 | 검토 승인 로그 | 메일 제목: 면담요약 보고 안내,2,V2-L6-1087
노사,사건사고 관리,면담기록/요약,원본 l6_activities 없음(신규/보강 항목),V2-L6-1088,요약 요청 접수 로그 생성,ticket_log,요약 요청 접수 로그 생성 처리 로그 | 요약 요청 접수 로그 생성 시스템 상태값 변경 | 메일 제목: 요약 요청 접수 로그 생성 안내,3,V2-L6-0468
노사,사건사고 관리,유사사례 및 판례 확인,원본 l6_activities 없음(신규/보강 항목),V2-L6-0469,판례검토 의견서 등록,legal_opinion,판례 인용근거 링크 저장 | 법무 검토 코멘트 로그 | 메일 제목: 판례검토 의견 공유,1,
노사,사건사고 관리,징계양정 제안,원본 l6_activities 없음(신규/보강 항목),V2-L6-0949,징계양정 제안 요청 접수 로그 생성,ticket_log,징계양정 제안 요청 접수번호 생성 | 징계양정 제안 요청 상태값 변경: 접수 | 메일 제목: 징계양정 제안 요청 접수 안내,1,
노사,사건사고 관리,징계양정 제안,원본 l6_activities 없음(신규/보강 항목),V2-L6-0470,징계양정 확정안 결재완료,approval_doc,결재 승인 로그 | 확정안 원본 저장 | 메일 제목: 징계양정 확정안 공유,2,V2-L6-0949
해외인사,공통,주재원 인사(양성),원본 l6_activities 없음(신규/보강 항목),V2-L6-0950,주재원 인사(양성) 요청 접수 로그 생성,ticket_log,주재원 인사(양성) 요청 접수번호 생성 | 주재원 인사(양성) 요청 상태값 변경: 접수 | 메일 제목: 주재원 인사(양성) 요청 접수 안내,1,
해외인사,공통,주재원 인사(양성),원본 l6_activities 없음(신규/보강 항목),V2-L6-0471,주재원 양성대상 선발명단 확정,approval_list,선발평가 점수 집계 로그 | 선발 승인 문서번호 생성 | 메일 제목: 주재원 양성대상 선발 결과 안내,2,V2-L6-0950
해외인사,공통,주재원 인사(양성),원본 l6_activities 없음(신규/보강 항목),V2-L6-0472,주재원 양성과정 수료현황표 발행,training_status,LMS 수료 데이터 적재 | 미수료 리마인드 로그 | 메일 제목: 주재원 양성과정 수료 현황 공유,3,V2-L6-0471
해외인사,인력운영,주재원 인사(선발/부임),원본 l6_activities 없음(신규/보강 항목),V2-L6-1089,주재원 인사(선발 생성,ticket_log,주재원 인사(선발 생성 처리 로그 | 주재원 인사(선발 생성 시스템 상태값 변경 | 메일 제목: 주재원 인사(선발 생성 안내,1,
해외인사,인력운영,주재원 인사(선발/부임),원본 l6_activities 없음(신규/보강 항목),V2-L6-0473,주재원 선발평가 결과표 확정,evaluation_sheet,평가결과 집계 배치 로그 | 선발 확정 상태값 변경 | 메일 제목: 주재원 선발 결과 안내,2,V2-L6-1089
해외인사,인력운영,주재원 인사(선발/부임),원본 l6_activities 없음(신규/보강 항목),V2-L6-1090,부임) 요청 접수 로그 생성,ticket_log,부임) 요청 접수 로그 생성 처리 로그 | 부임) 요청 접수 로그 생성 시스템 상태값 변경 | 메일 제목: 부임) 요청 접수 로그 생성 안내,3,V2-L6-0473
해외인사,인력운영,주재원 인사(선발/부임),원본 l6_activities 없음(신규/보강 항목),V2-L6-0474,부임 일정확정서 발행,schedule_doc,부임 일정 등록 로그 | 항공/비자 준비 체크리스트 생성 | 메일 제목: 주재원 부임 일정 확정 안내,4,V2-L6-1090
해외인사,인력운영,주재원 인사(관리),원본 l6_activities 없음(신규/보강 항목),V2-L6-0475,주재원 월간 운영현황표 업데이트,operation_ledger,월간 운영데이터 적재 | 이슈 분류 로그 | 메일 제목: 주재원 월간 운영현황 공유,1,
해외인사,인력운영,주재원 인사(관리),원본 l6_activities 없음(신규/보강 항목),V2-L6-0476,주재원 이슈조치 결과서 등록,issue_report,이슈 티켓 생성/종결 로그 | 조치 SLA 체크 로그 | 메일 제목: 주재원 이슈 조치 결과 안내,2,V2-L6-0475
